metric,server_threads,Count,Mean,StdDev,Min,Q1,Median,Q3,Max
ckpt_total,8,1280,475.581079153125,240.3691523764243,58.454172,267.21581925,468.3481625,681.36489125,919.84556
ckpt_total,16,1280,412.275685921875,187.0356974500114,66.720804,247.44566875,411.18852449999997,567.9417484999999,771.912537
ckpt_total,32,1280,463.0686705945312,178.75710339369405,85.548887,320.3240985,460.79026450000003,622.5916105,762.811049
restart,8,1280,126.956192975,55.094628668297574,28.105884,80.01664224999999,126.70663400000001,173.18084,232.631907
restart,16,1280,103.1982398890625,38.92797830794265,29.1126,70.007044,102.57961449999999,136.2750235,201.494601
restart,32,1280,125.653852453125,43.711146143514014,29.145661,96.43793550000001,127.21607900000001,160.09176625,226.242455
ckpt_app_block,8,1280,18.177604821093748,2.7619767844338177,10.541146,16.0580665,18.416824499999997,20.526734249999997,23.735374
ckpt_app_block,16,1280,18.232555914062498,2.7927382954579767,10.435449,16.13189375,18.4329605,20.52070725,25.27812
ckpt_app_block,32,1280,18.12096758984375,2.41705164306544,10.533936,16.49708175,17.950762,20.0599055,23.93227
