metric,server_threads,Count,Mean,StdDev,Min,Q1,Median,Q3,Max
ckpt_total,8,1280,475.581079153125,240.3691523764243,58.454172,267.21581925,468.3481625,681.36489125,919.84556
ckpt_total,16,1280,412.275685921875,187.0356974500114,66.720804,247.44566875,411.18852449999997,567.9417484999999,771.912537
ckpt_total,32,1280,463.0686705945312,178.75710339369405,85.548887,320.3240985,460.79026450000003,622.5916105,762.811049
