MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Checkpoint_min,Init_min,Memory Reg_min,Total_Execution_Sec_min,lib_Checkpoint Total_min,lib_Mem DeReg Wait_min,lib_Memory Copy_min,lib_Wait for checkpoint_min,Checkpoint_mean,Init_mean,Memory Reg_mean,Total_Execution_Sec_mean,lib_Checkpoint Total_mean,lib_Mem DeReg Wait_mean,lib_Memory Copy_mean,lib_Wait for checkpoint_mean,Checkpoint_median,Init_median,Memory Reg_median,Total_Execution_Sec_median,lib_Checkpoint Total_median,lib_Mem DeReg Wait_median,lib_Memory Copy_median,lib_Wait for checkpoint_median,Checkpoint_max,Init_max,Memory Reg_max,Total_Execution_Sec_max,lib_Checkpoint Total_max,lib_Mem DeReg Wait_max,lib_Memory Copy_max,lib_Wait for checkpoint_max
64,128,16,4,53.176403,2603.187078,44.490837,70.83391,53.12736,1.056641,51.433739,1.071368,61.30527619791667,3350.9904541875,99.702779515625,70.83391,61.27597374479166,318.6653361666667,58.934254857142854,2.134058067708333,60.3180155,3254.5063215,100.62953949999999,70.83391,60.296149,1.0654925,59.026814,1.110136,69.009949,3849.1943,168.697934,70.83391,68.956639,1654.515542,61.173326,7.742275
64,128,16,5,57.733354,2489.509825,40.75644,70.482335,57.698167,1.056862,56.189625,1.080305,61.02662645833333,3221.805015234375,85.27109553125,70.482335,60.99815824479166,326.86405055208337,58.95811105759163,1.8286572617801047,60.2994695,3152.8734750000003,81.75873,70.482335,60.2724585,1.0668855,58.966447,1.108358,68.745134,3705.734665,134.916004,70.482335,68.693327,1643.887788,62.633267,7.438788
64,128,16,6,56.767828,2588.155096,43.212532,70.907471,56.719556,1.014812,55.031265,1.071378,61.16771222916666,3335.0948698125,98.66341025,70.907471,61.14494363350786,314.655842140625,59.01311379569893,1.9185685989583332,60.332262,3240.293547,100.77307350000001,70.907471,60.305517,1.0670600000000001,59.043329,1.106425,68.218146,3831.66133,154.367712,70.907471,68.15151,1626.74961,64.657196,6.933306
64,128,16,7,49.423197,2736.987951,41.480941,70.61143,49.372512,1.056491,47.756256,1.047674,61.37416526041667,3299.7493725625,87.729409984375,70.61143,61.17516466492147,322.81009859375,58.912043259259256,1.9860751105263157,60.472534499999995,3252.3202444999997,90.00774849999999,70.61143,60.303481,1.0642555,58.945491,1.123462,70.477313,3785.413958,124.698432,70.61143,70.420095,1643.732698,62.19189,8.308798
64,128,16,8,56.464875,2734.256777,41.438909,71.077271,56.412736,1.051822,54.800758,1.074445,60.954021697916666,3305.0091591875002,68.095053578125,71.077271,60.93666356315789,327.40900991666666,58.95396358115184,1.7605505104166665,60.278326,3312.9388120000003,67.37034,71.077271,60.2587435,1.06147,58.958273,1.1075365000000001,68.594672,3821.971539,111.914586,71.077271,68.541833,1708.971734,60.787851,7.414021
64,128,16,9,56.615019,2823.745436,47.591614,71.061724,56.564032,1.056501,54.928981,1.075297,61.24925319270833,3331.746371984375,92.253088890625,71.061724,61.22005192708334,321.161229625,58.98814673404256,2.025001046875,60.3568295,3353.322937,93.24902850000001,71.061724,60.3367805,1.064656,59.0501165,1.105423,70.002186,3885.503162,144.804448,71.061724,69.928427,1670.057035,61.338109,8.092931
64,256,16,0,116.131388,2701.061845,65.642257,140.167139,113.582386,1.055529,110.472215,1.07222,120.5286593125,3276.7905633125,102.216034453125,140.167139,119.60801170833334,681.746018578125,117.41415419895287,1.8420535916230367,118.7557655,3224.0114505,97.310537,140.167139,118.7129245,1.0644355,117.377263,1.103309,133.976926,3793.978789,160.90463,140.167139,131.568408,3520.95932,123.119016,8.11351
64,256,16,1,108.082384,2788.385652,69.514074,139.720364,108.035125,1.056642,106.365108,1.079094,119.33526349479166,3337.007984375,107.795311140625,139.720364,119.306594171875,688.29521496875,117.1986945078534,1.9051521197916665,118.565976,3274.0379144999997,100.77604550000001,139.720364,118.5363105,1.065728,117.242497,1.1046010000000002,129.617245,3843.844261,171.99883,139.720364,129.573492,3534.878523,120.279148,9.141206
64,256,16,2,108.26943,2461.910417,66.786968,140.145013,108.231689,1.056241,106.499365,1.07194,119.31699765625,3323.5683103750002,109.228047609375,140.145013,119.29113330890053,685.3000424322917,117.1804078736842,1.8725457382198951,118.600065,3220.633172,100.97217950000001,140.145013,118.568641,1.0662289999999999,117.218435,1.10388,128.801413,3859.327998,185.882871,140.145013,128.738794,3514.330542,119.574935,9.139994
64,256,16,3,115.522871,2808.470034,65.663662,139.758889,115.475652,1.017949,113.835491,1.079164,119.3378036875,3363.04074865625,103.40761234375,139.758889,119.28399508376964,678.7240055052083,117.27032188421053,1.7971473507853402,118.599441,3322.2785525,97.549997,139.758889,118.578707,1.0588955,117.2641145,1.102257,126.440295,3847.679614,175.085977,139.758889,126.35274,3415.650033,119.375532,7.214135
