MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Checkpoint_min,Initialization_min,Memory Reg_min,Total_Execution_Sec_min,Checkpoint_mean,Initialization_mean,Memory Reg_mean,Total_Execution_Sec_mean,Checkpoint_median,Initialization_median,Memory Reg_median,Total_Execution_Sec_median,Checkpoint_max,Initialization_max,Memory Reg_max,Total_Execution_Sec_max
64,256,,6,822.425524,25.224855,0.008326,143.240814,1111.250314390625,37.5788696875,0.016731578125,143.240814,1168.311885,37.669076000000004,0.0147925,143.240814,1285.463705,51.381316,0.055926,143.240814
64,256,,7,839.724819,19.965082,0.007704,143.245724,1105.0911054583332,34.115583734375,0.0166668125,143.245724,1174.3836314999999,33.855121499999996,0.0150485,143.245724,1308.955258,48.492459,0.045947,143.245724
64,256,,8,828.594834,21.396089,0.008296,143.065002,1111.3977453697917,34.3082678125,0.016806609375,143.065002,1171.743127,33.658901,0.0150735,143.065002,1324.803669,48.689638,0.032622,143.065002
64,256,,9,821.792355,19.489266,0.008246,143.219036,1109.1098362916666,37.879270687500004,0.018844421875,143.219036,1166.910284,38.2182935,0.016050000000000002,143.219036,1299.38643,52.437193,0.066245,143.219036
64,512,,0,2083.899939,20.882617,0.007484,291.34963,2492.202916463542,34.95878140625,0.01756875,291.34963,2443.1832935,35.339256500000005,0.015709,291.34963,2771.476805,48.037483,0.046187,291.34963
64,512,,1,2046.04833,17.608402,0.008707,291.888895,2493.1285691927083,38.066155734375,0.018264421875,291.888895,2447.3822845,38.335299500000005,0.016385499999999997,291.888895,2864.467687,51.084144,0.046017,291.888895
64,512,,2,2024.176578,66.860658,0.008326,291.966861,2509.646104890625,78.232705515625,0.016781453125,291.966861,2500.1209935,78.0127455,0.016161000000000002,291.966861,3002.634985,91.970117,0.033102,291.966861
64,512,,3,1928.977349,18.781561,0.007915,292.457372,2544.1673303802086,34.342069578125,0.0183061875,292.457372,2498.7895685000003,34.800401,0.016545999999999998,292.457372,3446.808679,56.919867,0.057248,292.457372
64,512,,4,2239.995649,21.536775,0.008075,292.231374,2503.6172770572916,37.691805453125,0.01756496875,292.231374,2459.2370075,41.775624500000006,0.016301,292.231374,2913.837771,51.196558,0.030307,292.231374
64,512,,5,2182.959727,20.265596,0.008737,291.561275,2499.6403175104165,35.383550515625,0.0176200625,291.561275,2452.839702,35.279675999999995,0.0166865,291.561275,2763.189758,50.010293,0.033474,291.561275
64,512,,6,2080.264622,17.423802,0.008035,291.463574,2492.6012484010416,37.12580140625,0.016805796875,291.463574,2440.2531625,36.51484,0.016210500000000003,291.463574,2786.501973,50.114651,0.03203,291.463574
64,512,,7,2136.277057,34.745063,0.008577,291.719428,2492.9291850833333,49.26776621875,0.017107359375,291.719428,2436.5553815,47.627307,0.015759500000000003,291.719428,2804.554659,74.394137,0.038793,291.719428
64,512,,8,2000.71536,34.289316,0.008255,305.660536,2492.302841515625,50.353554578125,0.017362812499999998,305.660536,2446.0918965,50.114418,0.0163355,305.660536,2763.161501,63.830746,0.036077,305.660536
64,512,,9,2116.423748,27.608304,0.007124,305.123381,2491.94096125,40.1399043125,0.017455734375,305.123381,2445.9980235,38.568467,0.0162255,305.123381,2750.25666,62.013205,0.057528,305.123381
64,1024,,0,3191.073955,33.86386,0.008686,589.103315,9525.922624151042,46.892957484375,0.018003171875,589.103315,9666.244899500001,49.5138905,0.0172275,589.103315,11962.499466,61.050018,0.030307,589.103315
64,1024,,1,3222.129258,20.380494,0.008797,589.084372,9740.309759140624,36.862332328125,0.017504578125,589.084372,9875.124464,36.9760315,0.0177285,589.084372,11713.331527,48.839662,0.035547,589.084372
64,1024,,2,3163.829009,18.360781,0.009357,587.739541,9708.567875104167,34.286093109375,0.01837271875,587.739541,9721.557797500001,33.208065000000005,0.016701,587.739541,11831.856495,53.294682,0.032491,587.739541
64,1024,,3,3268.585706,38.564472,0.008075,587.326017,9832.411313546874,50.08176559375,0.018560125,587.326017,9742.5175485,49.514372,0.0169015,587.326017,11847.00301,63.212671,0.055264,587.326017
64,1024,,4,3134.206949,20.173826,0.008707,586.605531,9269.284198666666,35.66205284375,0.018044296875,586.605531,9559.425955499999,36.3684425,0.016737000000000002,586.605531,10625.451363,51.492592,0.038322,586.605531
64,1024,,5,3183.906602,19.443741,0.008216,580.333633,9331.364060677084,33.4446683125,0.01802165625,580.333633,9665.688364000001,34.118023,0.016827,580.333633,11042.215008,47.173735,0.041548,580.333633
64,1024,,6,3226.982289,25.902013,0.008776,586.99912,9342.57394713021,38.290983140625,0.017898984375,586.99912,9633.778254500001,41.13489,0.016817,586.99912,10630.763498,52.822906,0.033854,586.99912
64,1024,,7,3093.300065,21.589309,0.008356,587.782603,9564.793941182292,34.75880696875,0.017838140625,587.782603,9783.108832999998,35.262585,0.016356,587.782603,11384.092293,45.935865,0.034274,587.782603
64,1024,,8,3074.926126,37.543262,0.008145,591.216954,9348.58411696875,52.210825296875,0.0172155625,591.216954,9439.6952805,51.025653,0.016506,591.216954,11795.142965,66.02271,0.046708,591.216954
64,1024,,9,2921.118602,36.223293,0.008526,589.485988,9549.755225635416,50.204230578125,0.017901484375,589.485988,9853.802079000001,49.069843,0.0163665,589.485988,11951.938971,67.507749,0.064291,589.485988
128,64,,0,301.109797,23.02969,0.007264,58.447841,544.5841155807292,71.326617078125,0.0152996640625,58.447841,555.3817845000001,70.408489,0.0149735,58.447841,661.577002,128.960569,0.043321,58.447841
128,64,,1,398.330934,21.401258,0.007865,58.375155,617.6175974010417,64.00978315625,0.0150697265625,58.375155,586.932675,58.609168999999994,0.014297,58.375155,905.167912,128.761265,0.039945,58.375155
128,64,,2,308.004592,58.436815,0.007834,58.82573,552.12662465625,103.1538260859375,0.014783390625,58.82573,561.6438705,96.3417505,0.014297,58.82573,650.051357,145.575182,0.027411,58.82573
128,64,,3,293.804886,38.577661,0.007815,58.19984,560.42987109375,77.87014615625,0.01520009375,58.19984,569.6123765,77.820855,0.014492499999999998,58.19984,673.22948,133.309471,0.038523,58.19984
128,64,,4,300.980187,37.733087,0.007794,58.314307,550.9857586796875,77.4027886640625,0.01568375,58.314307,558.2329824999999,74.4180965,0.014703,58.314307,666.951673,115.318924,0.045927,58.314307
128,64,,5,289.727241,32.549888,0.007554,58.544444,552.5518910520833,76.7846162421875,0.0154535703125,58.544444,560.5852745,67.2265765,0.014407,58.544444,640.862031,135.542326,0.04253,58.544444
128,64,,6,294.590028,46.666814,0.007685,58.544619,547.0614807734374,87.11770215625,0.0149999453125,58.544619,553.443435,82.7596595,0.014838,58.544619,649.801209,157.576649,0.03193,58.544619
128,64,,7,303.802402,23.124086,0.007955,58.411936,552.2866919583333,67.9794944375,0.01473471875,58.411936,555.3778765,67.75066000000001,0.014217,58.411936,701.766746,127.477088,0.05294,58.411936
128,64,,8,305.350527,36.963291,0.007374,58.909778,595.9050626901042,78.405968140625,0.015835640625,58.909778,574.0207435,76.03944150000001,0.0148275,58.909778,847.126271,123.811674,0.087696,58.909778
128,64,,9,323.698937,25.028938,0.007324,58.586821,546.5956477057292,69.76443571875,0.014677296875,58.586821,551.2358795,60.216701,0.014172,58.586821,633.106139,118.368887,0.033543,58.586821
128,128,,0,601.246004,93.386024,0.007444,114.310931,1285.346576200521,130.78896209375,0.0184332578125,114.310931,1332.798761,123.506707,0.016852,114.310931,1466.593824,225.694623,0.05322,114.310931
128,128,,1,580.444022,37.316826,0.007865,114.416857,1275.3618946458334,84.8381978203125,0.0180370859375,114.416857,1316.1063735,69.498322,0.0156295,114.416857,1442.909083,173.596647,0.076514,114.416857
128,128,,2,593.69884,63.721692,0.007695,115.243467,1417.4242494140626,105.3259790625,0.017587328125,115.243467,1348.3551605,104.130135,0.01595,115.243467,2044.61178,163.989807,0.062779,115.243467
128,128,,3,623.804545,20.268702,0.008526,113.35183,1264.3742914635416,66.7731736640625,0.0189386875,113.35183,1314.263508,62.9581275,0.016236,113.35183,1444.285519,162.058879,0.083738,113.35183
128,128,,4,638.287624,31.178968,0.007585,114.204339,1273.5825550703125,70.9062235859375,0.018028296875,114.204339,1323.618387,62.199873,0.016306,114.204339,1398.27118,156.983032,0.043613,114.204339
128,128,,5,622.880842,86.318569,0.008115,113.987422,1271.5965395364583,130.530197703125,0.0194863046875,113.987422,1319.9749785,124.53619850000001,0.0170415,113.987422,1486.426689,228.274049,0.052399,113.987422
128,128,,6,609.779107,32.434664,0.008856,113.511647,1276.929717721354,70.8446645390625,0.0183210078125,113.511647,1324.0429785000001,69.4611585,0.0160455,113.511647,1475.123874,129.035138,0.066105,113.511647
128,128,,7,702.84309,31.437787,0.008667,114.68085,1279.7176417734374,72.4642432578125,0.0186322265625,114.68085,1328.699552,68.04612750000001,0.017072,114.68085,1441.532163,160.361632,0.074511,114.68085
128,128,,8,591.949691,76.013904,0.008125,114.541408,1267.14856853125,116.788076625,0.019978484375,114.541408,1308.2742090000002,115.372822,0.017357499999999998,114.541408,1420.831891,199.051183,0.078979,114.541408
128,128,,9,598.229885,26.405165,0.007805,114.254643,1273.4876770572916,71.6877982421875,0.018030875,114.254643,1329.254375,65.2492525,0.0174225,114.254643,1418.214571,162.130389,0.036079,114.254643
128,256,,0,2133.622059,65.467026,0.008346,224.283301,2723.022288953125,101.1606061484375,0.0225371171875,224.283301,2772.8130435000003,98.0749865,0.0210945,224.283301,3296.795982,147.235651,0.055835,224.283301
128,256,,1,2137.528524,56.144462,0.009327,223.833953,2703.153218388021,88.7279141953125,0.0236857578125,223.833953,2763.834791,84.3518235,0.0194965,223.833953,3049.434526,142.161523,0.08488,223.833953
128,256,,2,2081.179653,99.600753,0.008205,224.677797,2699.8493654713543,135.198449546875,0.0225461640625,224.677797,2759.412479,130.519082,0.0190055,224.677797,3080.427869,187.67094,0.074871,224.677797
128,256,,3,2113.163869,66.160957,0.008827,223.986734,2696.0706882630207,98.17808328125,0.024424765625,223.986734,2763.3657700000003,97.85501350000001,0.0204235,223.986734,2999.668092,144.129574,0.089229,223.986734
128,256,,4,2136.40712,72.740131,0.008105,224.981902,2679.8047787135415,109.412284203125,0.0224356796875,224.981902,2759.4172975,105.52579800000001,0.0183095,224.981902,2923.608627,162.595713,0.115287,224.981902
128,256,,5,2122.033868,58.970316,0.008616,242.065627,2694.564319690104,94.3992301953125,0.0223960859375,242.065627,2773.184967,89.2520245,0.019806999999999998,242.065627,2921.549957,157.743952,0.053511,242.065627
128,256,,6,2133.920624,62.148945,0.008065,225.263533,2700.07983440625,96.338237859375,0.022229203125,225.263533,2774.7295535000003,92.48083349999999,0.019161499999999998,225.263533,3022.27605,153.61398,0.064982,225.263533
128,256,,7,2121.030884,56.828098,0.008796,225.380833,2704.747626091146,93.2134103203125,0.0238930859375,225.380833,2771.3355965,98.525684,0.021906500000000002,225.380833,3268.231499,141.422419,0.064301,225.380833
128,256,,8,2134.41707,54.50498,0.008476,225.046343,2700.2742620208332,89.4237458359375,0.02334203125,225.046343,2769.348659,85.807051,0.0189855,225.046343,3006.650722,148.312829,0.076204,225.046343
128,256,,9,2102.920499,82.142961,0.007986,224.711341,2684.092202955729,115.994744859375,0.02365471875,224.711341,2760.9848825,113.6114235,0.020548499999999997,224.711341,2959.137615,163.972381,0.056917,224.711341
128,512,,0,4953.563943,39.07886,0.008415,443.387492,5600.366581583334,81.6506208984375,0.02144475,443.387492,5652.6857469999995,77.0266435,0.017833500000000002,443.387492,6202.399528,140.788858,0.048732,443.387492
128,512,,1,5057.606794,34.32206,0.007975,444.455645,5594.125070919271,73.017976,0.02230740625,444.455645,5648.1933850000005,68.5329955,0.0193565,444.455645,6390.27701,148.718731,0.062628,444.455645
128,512,,2,5010.696499,42.069124,0.008216,446.800298,5594.623797278647,75.105202296875,0.022071046875,446.800298,5643.578266,69.777641,0.017984,446.800298,6267.966885,144.649811,0.05819,446.800298
128,512,,3,5030.434258,35.731511,0.008587,444.804448,5601.3069873489585,75.1963743828125,0.021896421875,444.804448,5642.2238815,70.161257,0.019091,444.804448,6341.256113,162.397691,0.055354,444.804448
128,512,,4,4934.230369,20.908187,0.009427,445.101441,5578.654473320313,66.8384459140625,0.0222530078125,445.101441,5604.5935185,63.675519,0.0198075,445.101441,6244.050076,154.468997,0.074981,445.101441
128,512,,5,5002.062962,40.511832,0.008286,444.797236,5588.002976190105,83.9150381640625,0.02264709375,444.797236,5630.417426,82.1797085,0.0182695,444.797236,6447.499872,169.305296,0.096152,444.797236
128,512,,6,5051.558559,40.789471,0.009247,444.297709,5580.19351289323,78.320155421875,0.0240465546875,444.297709,5620.066739,74.090741,0.0216955,444.297709,6344.948824,148.725186,0.081864,444.297709
128,512,,7,4460.726652,42.650155,0.008506,447.183867,5807.508558494792,76.9527818984375,0.0228146875,447.183867,5638.863377,71.381658,0.0188055,447.183867,9856.50124,159.195488,0.061756,447.183867
128,512,,8,4848.979002,29.016698,0.009698,445.486705,5584.221814679688,71.3930742109375,0.0237546796875,445.486705,5614.9746535,68.47886,0.0199125,445.486705,6264.115401,119.045062,0.055694,445.486705
128,512,,9,5042.451542,53.537816,0.008576,445.11839,5579.483243770833,97.93874334375,0.0235074453125,445.11839,5628.0038095,94.603601,0.019125999999999997,445.11839,6351.516396,167.617957,0.062318,445.11839
128,1024,,0,6114.166103,125.576551,0.009087,922.786529,18884.28026444271,161.054726515625,0.021982140625,922.786529,19772.162938,157.8718315,0.018971000000000002,922.786529,21355.825362,227.646102,0.053641,922.786529
128,1024,,1,5950.569214,68.064489,0.009057,925.793594,19203.73749152083,103.671309578125,0.0230451640625,925.793594,20071.854542,98.226069,0.0196015,925.793594,23335.352415,188.220987,0.068328,925.793594
128,1024,,2,6271.381023,63.577152,0.010119,952.199807,19110.647307135416,98.1497070546875,0.0221808984375,952.199807,19859.084748499998,95.644905,0.018996,952.199807,22889.250048,158.592806,0.049393,952.199807
128,1024,,3,6109.330912,137.98063,0.008807,924.982305,18956.15261745052,173.1507271484375,0.023220734375,924.982305,19684.9467185,172.391206,0.0192465,924.982305,22970.9051,211.513239,0.069522,924.982305
128,1024,,4,6084.758025,50.585612,0.008907,925.094265,19244.150618979165,87.6550215859375,0.02257515625,925.094265,20051.9550445,83.065001,0.0194765,925.094265,22233.974499,167.722323,0.05832,925.094265
128,1024,,5,6071.850194,53.174682,0.009548,921.864331,19280.152359161457,86.939418796875,0.021988015625,921.864331,19874.7595565,83.402102,0.018795,921.864331,23568.164621,138.671421,0.056717,921.864331
128,1024,,6,5632.535925,117.731936,0.009678,920.854407,19061.276696122397,148.53171034375,0.022732125,920.854407,20216.953837499997,144.8111465,0.0194165,920.854407,22129.21048,199.193797,0.067848,920.854407
128,1024,,7,5987.951325,44.285639,0.008737,989.722466,19179.291190882814,80.694148984375,0.0216621171875,989.722466,20185.302878000002,75.468485,0.0183095,989.722466,21476.607228,152.213164,0.070773,989.722466
128,1024,,8,5602.752787,132.414026,0.009919,924.40513,18217.58044636198,168.8159682265625,0.0225780546875,924.40513,19371.962883,163.6076215,0.0196275,924.40513,21986.907742,238.081305,0.06391,924.40513
128,1024,,9,6115.174172,51.906184,0.009177,926.755373,19083.167197398438,88.5615394765625,0.0223471875,926.755373,20225.416735,83.769226,0.019186,926.755373,21167.140352,170.995296,0.066255,926.755373
