MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Rank,Metric,Time
64,64,16,0,-1,lib_Mem DeReg Wait,630.538509
64,64,16,0,-1,lib_Mem DeReg Wait,630.745059
64,64,16,0,-1,lib_Mem DeReg Wait,630.752063
64,64,16,0,-1,lib_Mem DeReg Wait,643.447268
64,64,16,0,-1,lib_Mem DeReg Wait,652.298738
64,64,16,0,-1,lib_Mem DeReg Wait,653.427856
64,64,16,0,-1,lib_Mem DeReg Wait,661.08315
64,64,16,0,-1,lib_Mem DeReg Wait,689.354234
64,64,16,0,-1,lib_Mem DeReg Wait,693.576484
64,64,16,0,-1,lib_Mem DeReg Wait,700.232654
64,64,16,0,-1,lib_Mem DeReg Wait,719.940943
64,64,16,0,-1,lib_Mem DeReg Wait,724.258113
64,64,16,0,-1,lib_Mem DeReg Wait,726.371849
64,64,16,0,-1,lib_Mem DeReg Wait,735.21388
64,64,16,0,-1,lib_Mem DeReg Wait,747.751799
64,64,16,0,-1,lib_Mem DeReg Wait,764.095876
64,64,16,0,-1,lib_Mem DeReg Wait,768.363692
64,64,16,0,-1,lib_Mem DeReg Wait,770.115185
64,64,16,0,-1,lib_Mem DeReg Wait,770.554453
64,64,16,0,-1,lib_Mem DeReg Wait,771.545381
64,64,16,0,-1,lib_Mem DeReg Wait,1.059568
64,64,16,0,-1,lib_Mem DeReg Wait,1.060139
64,64,16,0,-1,lib_Mem DeReg Wait,1.060809
64,64,16,0,-1,lib_Mem DeReg Wait,1.06071
64,64,16,0,-1,lib_Mem DeReg Wait,1.060479
64,64,16,0,-1,lib_Mem DeReg Wait,1.060259
64,64,16,0,-1,lib_Mem DeReg Wait,1.062463
64,64,16,0,-1,lib_Mem DeReg Wait,1.062283
64,64,16,0,-1,lib_Mem DeReg Wait,1.063274
64,64,16,0,-1,lib_Mem DeReg Wait,1.064116
64,64,16,0,-1,lib_Mem DeReg Wait,1.063045
64,64,16,0,-1,lib_Mem DeReg Wait,1.06582
64,64,16,0,-1,lib_Mem DeReg Wait,1.064967
64,64,16,0,-1,lib_Mem DeReg Wait,1.063635
64,64,16,0,-1,lib_Mem DeReg Wait,1.065449
64,64,16,0,-1,lib_Mem DeReg Wait,1.062864
64,64,16,0,-1,lib_Mem DeReg Wait,1.064086
64,64,16,0,-1,lib_Mem DeReg Wait,1.064166
64,64,16,0,-1,lib_Mem DeReg Wait,1.064838
64,64,16,0,-1,lib_Mem DeReg Wait,1.066391
64,64,16,0,-1,lib_Mem DeReg Wait,1.063616
64,64,16,0,-1,lib_Mem DeReg Wait,1.064858
64,64,16,0,-1,lib_Mem DeReg Wait,1.067202
64,64,16,0,-1,lib_Mem DeReg Wait,1.067132
64,64,16,0,-1,lib_Mem DeReg Wait,1.065179
64,64,16,0,-1,lib_Mem DeReg Wait,1.065769
64,64,16,0,-1,lib_Mem DeReg Wait,1.065349
64,64,16,0,-1,lib_Mem DeReg Wait,1.06605
64,64,16,0,-1,lib_Mem DeReg Wait,1.067272
64,64,16,0,-1,lib_Mem DeReg Wait,1.068265
64,64,16,0,-1,lib_Mem DeReg Wait,1.065259
64,64,16,0,-1,lib_Mem DeReg Wait,1.065981
64,64,16,0,-1,lib_Mem DeReg Wait,1.064878
64,64,16,0,-1,lib_Mem DeReg Wait,1.06575
64,64,16,0,-1,lib_Mem DeReg Wait,1.069506
64,64,16,0,-1,lib_Mem DeReg Wait,1.067423
64,64,16,0,-1,lib_Mem DeReg Wait,1.067082
64,64,16,0,-1,lib_Mem DeReg Wait,1.067783
64,64,16,0,-1,lib_Mem DeReg Wait,1.06634
64,64,16,0,-1,lib_Mem DeReg Wait,1.066911
64,64,16,0,-1,lib_Mem DeReg Wait,1.066991
64,64,16,0,-1,lib_Mem DeReg Wait,1.068325
64,64,16,0,-1,lib_Mem DeReg Wait,1.067132
64,64,16,0,-1,lib_Mem DeReg Wait,1.069005
64,64,16,0,-1,lib_Mem DeReg Wait,1.067894
64,64,16,0,-1,lib_Mem DeReg Wait,1.067443
64,64,16,0,-1,lib_Mem DeReg Wait,1.065919
64,64,16,0,-1,lib_Mem DeReg Wait,1.065979
64,64,16,0,-1,lib_Mem DeReg Wait,1.064888
64,64,16,0,-1,lib_Mem DeReg Wait,1.068194
64,64,16,0,-1,lib_Mem DeReg Wait,1.066912
64,64,16,0,-1,lib_Mem DeReg Wait,1.066471
64,64,16,0,-1,lib_Mem DeReg Wait,1.066711
64,64,16,0,-1,lib_Mem DeReg Wait,1.066561
64,64,16,0,-1,lib_Mem DeReg Wait,1.066621
64,64,16,0,-1,lib_Mem DeReg Wait,1.066341
64,64,16,0,-1,lib_Mem DeReg Wait,1.06633
64,64,16,0,-1,lib_Mem DeReg Wait,1.065589
64,64,16,0,-1,lib_Mem DeReg Wait,1.066591
64,64,16,0,-1,lib_Mem DeReg Wait,1.066541
64,64,16,0,-1,lib_Mem DeReg Wait,1.069376
64,64,16,0,-1,lib_Mem DeReg Wait,1.068725
64,64,16,0,-1,lib_Mem DeReg Wait,1.073093
64,64,16,0,-1,lib_Mem DeReg Wait,1.072101
64,64,16,0,-1,lib_Mem DeReg Wait,1.056853
