server_threads,mem_kb,proc_count,run_id,rank,metric,time_ms
32,8192,16,2,0.0,mem_protect,23.656644
32,8192,16,2,1.0,mem_protect,33.727672
32,8192,16,2,4.0,mem_protect,35.499739
32,8192,16,2,14.0,mem_protect,36.650746
32,8192,16,2,6.0,mem_protect,37.559839
32,8192,16,2,8.0,mem_protect,50.468641
32,8192,16,2,11.0,mem_protect,50.605699
32,8192,16,2,13.0,mem_protect,52.546855
32,8192,16,2,7.0,mem_protect,55.133015
32,8192,16,2,12.0,mem_protect,57.25923
32,8192,16,2,15.0,mem_protect,60.127041
32,8192,16,2,2.0,mem_protect,60.514691
32,8192,16,2,9.0,mem_protect,64.227484
32,8192,16,2,10.0,mem_protect,65.50494
32,8192,16,2,5.0,mem_protect,74.049733
32,8192,16,2,3.0,mem_protect,82.464751
32,8192,16,2,,wait_timer,8.743597
32,8192,16,2,,wait_timer,8.838346
32,8192,16,2,7.0,ckpt_start,8.874484
32,8192,16,2,10.0,ckpt_start,8.943473
32,8192,16,2,,wait_timer,16.813897
32,8192,16,2,,wait_timer,16.912763
32,8192,16,2,1.0,ckpt_start,16.913274
32,8192,16,2,,wait_timer,16.923654
32,8192,16,2,5.0,ckpt_start,17.028311
32,8192,16,2,11.0,ckpt_start,17.04906
32,8192,16,2,,wait_timer,23.994822
32,8192,16,2,4.0,ckpt_start,24.103285
32,8192,16,2,,wait_timer,31.089182
32,8192,16,2,14.0,ckpt_start,31.190984
32,8192,16,2,,wait_timer,32.164558
32,8192,16,2,15.0,ckpt_start,32.262923
32,8192,16,2,,wait_timer,32.681622
32,8192,16,2,,wait_timer,32.692572
32,8192,16,2,6.0,ckpt_start,32.784155
32,8192,16,2,9.0,ckpt_start,32.789445
32,8192,16,2,,wait_timer,32.940489
32,8192,16,2,2.0,ckpt_start,33.040037
32,8192,16,2,,wait_timer,33.866754
32,8192,16,2,12.0,ckpt_start,33.965419
32,8192,16,2,,wait_timer,34.827122
32,8192,16,2,3.0,ckpt_start,34.92146
32,8192,16,2,,wait_timer,36.024448
32,8192,16,2,13.0,ckpt_start,36.122191
32,8192,16,2,,wait_timer,36.966
32,8192,16,2,,wait_timer,36.9761
32,8192,16,2,8.0,ckpt_start,37.086227
32,8192,16,2,0.0,ckpt_start,37.093691
32,8192,16,2,,wait_timer,14.645312
32,8192,16,2,0.0,mem_unprotect,14.664498
32,8192,16,2,0.0,ckpt_total,51.766235
32,8192,16,2,,wait_timer,43.00815
32,8192,16,2,10.0,mem_unprotect,43.027807
32,8192,16,2,10.0,ckpt_total,51.982241
32,8192,16,2,,wait_timer,34.978146
32,8192,16,2,5.0,mem_unprotect,34.993917
32,8192,16,2,5.0,ckpt_total,52.031294
32,8192,16,2,,wait_timer,43.378388
32,8192,16,2,7.0,mem_unprotect,43.391773
32,8192,16,2,7.0,ckpt_total,52.275424
32,8192,16,2,,wait_timer,16.174402
32,8192,16,2,13.0,mem_unprotect,16.189972
32,8192,16,2,13.0,ckpt_total,52.320759
32,8192,16,2,,wait_timer,35.492976
32,8192,16,2,11.0,mem_unprotect,35.507023
32,8192,16,2,11.0,ckpt_total,52.566833
32,8192,16,2,,wait_timer,21.633975
32,8192,16,2,14.0,mem_unprotect,21.648172
32,8192,16,2,14.0,ckpt_total,52.848833
32,8192,16,2,,wait_timer,15.779529
32,8192,16,2,8.0,mem_unprotect,15.792884
32,8192,16,2,8.0,ckpt_total,52.890091
32,8192,16,2,,wait_timer,35.999039
32,8192,16,2,1.0,mem_unprotect,36.012695
32,8192,16,2,1.0,ckpt_total,52.935276
32,8192,16,2,,wait_timer,29.199463
32,8192,16,2,4.0,mem_unprotect,29.214472
32,8192,16,2,4.0,ckpt_total,53.327556
32,8192,16,2,,wait_timer,20.430187
32,8192,16,2,2.0,mem_unprotect,20.444985
32,8192,16,2,2.0,ckpt_total,53.495492
32,8192,16,2,,wait_timer,19.548727
32,8192,16,2,12.0,mem_unprotect,19.563725
32,8192,16,2,12.0,ckpt_total,53.538933
32,8192,16,2,,wait_timer,18.678087
32,8192,16,2,3.0,mem_unprotect,18.692735
32,8192,16,2,3.0,ckpt_total,53.623453
32,8192,16,2,,wait_timer,20.903429
32,8192,16,2,6.0,mem_unprotect,20.921854
32,8192,16,2,6.0,ckpt_total,53.716057
32,8192,16,2,,wait_timer,21.470186
32,8192,16,2,15.0,mem_unprotect,21.484694
32,8192,16,2,15.0,ckpt_total,53.756373
32,8192,16,2,,wait_timer,21.076905
32,8192,16,2,9.0,mem_unprotect,21.092435
32,8192,16,2,9.0,ckpt_total,53.891768
32,8192,16,2,4.0,restart,69.313623
32,8192,16,2,15.0,restart,70.454051
