server_threads,mem_kb,proc_count,run_id,rank,metric,time_ms
8,131072,32,2,6.0,mem_protect,11.495306
8,131072,32,2,5.0,mem_protect,14.44483
8,131072,32,2,21.0,mem_protect,14.796262
8,131072,32,2,29.0,mem_protect,17.753881
8,131072,32,2,19.0,mem_protect,18.152862
8,131072,32,2,0.0,mem_protect,21.055779
8,131072,32,2,25.0,mem_protect,21.31682
8,131072,32,2,11.0,mem_protect,21.924325
8,131072,32,2,15.0,mem_protect,23.027853
8,131072,32,2,9.0,mem_protect,23.410904
8,131072,32,2,23.0,mem_protect,22.487765
8,131072,32,2,26.0,mem_protect,24.531935
8,131072,32,2,7.0,mem_protect,22.121605
8,131072,32,2,20.0,mem_protect,25.054428
8,131072,32,2,3.0,mem_protect,25.398065
8,131072,32,2,13.0,mem_protect,26.269876
8,131072,32,2,10.0,mem_protect,26.551597
8,131072,32,2,18.0,mem_protect,26.720606
8,131072,32,2,24.0,mem_protect,27.223052
8,131072,32,2,14.0,mem_protect,27.879388
8,131072,32,2,27.0,mem_protect,28.075387
8,131072,32,2,22.0,mem_protect,28.346156
8,131072,32,2,30.0,mem_protect,28.465171
8,131072,32,2,16.0,mem_protect,28.461083
8,131072,32,2,12.0,mem_protect,28.969811
8,131072,32,2,28.0,mem_protect,30.212742
8,131072,32,2,4.0,mem_protect,30.873175
8,131072,32,2,2.0,mem_protect,31.69369
8,131072,32,2,8.0,mem_protect,32.392136
8,131072,32,2,17.0,mem_protect,31.111394
8,131072,32,2,31.0,mem_protect,33.014357
8,131072,32,2,1.0,mem_protect,34.548727
8,131072,32,2,,wait_timer,1.397471
8,131072,32,2,,wait_timer,1.402401
8,131072,32,2,,wait_timer,1.640509
8,131072,32,2,,wait_timer,1.830768
8,131072,32,2,,wait_timer,2.005947
8,131072,32,2,,wait_timer,2.011769
8,131072,32,2,,wait_timer,2.018852
8,131072,32,2,,wait_timer,2.208339
8,131072,32,2,,wait_timer,2.215022
8,131072,32,2,,wait_timer,2.217786
8,131072,32,2,,wait_timer,2.397044
8,131072,32,2,,wait_timer,2.402214
8,131072,32,2,,wait_timer,2.404177
8,131072,32,2,,wait_timer,2.412382
8,131072,32,2,8.0,ckpt_start,2.399068
8,131072,32,2,,wait_timer,2.415277
8,131072,32,2,2.0,ckpt_start,2.553729
8,131072,32,2,,wait_timer,2.583905
8,131072,32,2,4.0,ckpt_start,2.629231
8,131072,32,2,,wait_timer,2.755618
8,131072,32,2,,wait_timer,2.924407
8,131072,32,2,17.0,ckpt_start,3.003596
8,131072,32,2,,wait_timer,3.078407
8,131072,32,2,0.0,ckpt_start,3.089157
