Filename,MPI_Processes,Trial_Iteration,Memory_MB,Backend_Processes,Total_Runtime_Sec
heatdis_aurora_p128_i6_m128_b16_restore_test.log,128,6,128,16,5.058741
heatdis_aurora_p128_i7_m128_b16_restore_test.log,128,7,128,16,3.293623
heatdis_aurora_p128_i8_m128_b16_restore_test.log,128,8,128,16,5.326228
heatdis_aurora_p128_i9_m128_b16_restore_test.log,128,9,128,16,6.489305
heatdis_aurora_p128_i0_m256_b16_restore_test.log,128,0,256,16,9.655891
heatdis_aurora_p128_i1_m256_b16_restore_test.log,128,1,256,16,9.366623
heatdis_aurora_p128_i2_m256_b16_restore_test.log,128,2,256,16,6.708677
heatdis_aurora_p128_i3_m256_b16_restore_test.log,128,3,256,16,8.61329
heatdis_aurora_p128_i4_m256_b16_restore_test.log,128,4,256,16,8.329391
heatdis_aurora_p128_i5_m256_b16_restore_test.log,128,5,256,16,6.024095
heatdis_aurora_p128_i6_m256_b16_restore_test.log,128,6,256,16,1.386568
heatdis_aurora_p128_i7_m256_b16_restore_test.log,128,7,256,16,4.826404
heatdis_aurora_p128_i8_m256_b16_restore_test.log,128,8,256,16,8.626125
heatdis_aurora_p128_i9_m256_b16_restore_test.log,128,9,256,16,8.605976
heatdis_aurora_p128_i0_m512_b8_restore_test.log,128,0,512,8,418.263667
heatdis_aurora_p128_i1_m512_b8_restore_test.log,128,1,512,8,18.070376
heatdis_aurora_p128_i2_m512_b8_restore_test.log,128,2,512,8,15.195315
heatdis_aurora_p128_i3_m512_b8_restore_test.log,128,3,512,8,17.734862
heatdis_aurora_p128_i4_m512_b8_restore_test.log,128,4,512,8,3.34109
heatdis_aurora_p128_i5_m512_b8_restore_test.log,128,5,512,8,10.183306
heatdis_aurora_p128_i6_m512_b8_restore_test.log,128,6,512,8,7.876574
heatdis_aurora_p128_i7_m512_b8_restore_test.log,128,7,512,8,14.428781
heatdis_aurora_p128_i8_m512_b8_restore_test.log,128,8,512,8,15.118301
heatdis_aurora_p128_i9_m512_b8_restore_test.log,128,9,512,8,10.229911
heatdis_aurora_p128_i0_m512_b16_restore_test.log,128,0,512,16,6.211265
heatdis_aurora_p128_i1_m512_b16_restore_test.log,128,1,512,16,13.030214
heatdis_aurora_p128_i2_m512_b16_restore_test.log,128,2,512,16,7.310581
heatdis_aurora_p128_i3_m512_b16_restore_test.log,128,3,512,16,13.637755
heatdis_aurora_p128_i4_m512_b16_restore_test.log,128,4,512,16,11.87701
heatdis_aurora_p128_i5_m512_b16_restore_test.log,128,5,512,16,10.585174
heatdis_aurora_p128_i6_m512_b16_restore_test.log,128,6,512,16,3.353276
heatdis_aurora_p128_i7_m512_b16_restore_test.log,128,7,512,16,8.583671
heatdis_aurora_p128_i8_m512_b16_restore_test.log,128,8,512,16,20.458852
heatdis_aurora_p128_i9_m512_b16_restore_test.log,128,9,512,16,15.478115
heatdis_aurora_p128_i0_m1024_b8_restore_test.log,128,0,1024,8,22.859538
heatdis_aurora_p128_i1_m1024_b8_restore_test.log,128,1,1024,8,38.402024
heatdis_aurora_p128_i2_m1024_b8_restore_test.log,128,2,1024,8,18.669504
heatdis_aurora_p128_i3_m1024_b8_restore_test.log,128,3,1024,8,25.048938
heatdis_aurora_p128_i4_m1024_b8_restore_test.log,128,4,1024,8,17.336931
heatdis_aurora_p128_i5_m1024_b8_restore_test.log,128,5,1024,8,31.015685
heatdis_aurora_p128_i6_m1024_b8_restore_test.log,128,6,1024,8,26.152094
heatdis_aurora_p128_i7_m1024_b8_restore_test.log,128,7,1024,8,11.311575
heatdis_aurora_p128_i8_m1024_b8_restore_test.log,128,8,1024,8,18.934402
heatdis_aurora_p128_i9_m1024_b8_restore_test.log,128,9,1024,8,31.888707
heatdis_aurora_p128_i0_m1024_b16_restore_test.log,128,0,1024,16,36.83311
heatdis_aurora_p128_i1_m1024_b16_restore_test.log,128,1,1024,16,32.796466
heatdis_aurora_p128_i2_m1024_b16_restore_test.log,128,2,1024,16,37.25345
heatdis_aurora_p128_i3_m1024_b16_restore_test.log,128,3,1024,16,8.158304
heatdis_aurora_p128_i4_m1024_b16_restore_test.log,128,4,1024,16,12.36027
heatdis_aurora_p128_i5_m1024_b16_restore_test.log,128,5,1024,16,32.413685
heatdis_aurora_p128_i6_m1024_b16_restore_test.log,128,6,1024,16,24.549227
heatdis_aurora_p128_i7_m1024_b16_restore_test.log,128,7,1024,16,31.137212
heatdis_aurora_p128_i8_m1024_b16_restore_test.log,128,8,1024,16,25.290261
heatdis_aurora_p128_i9_m1024_b16_restore_test.log,128,9,1024,16,23.047457
