metric,Mean - aurora,Mean - veloc,Mean Difference,Mean Percentage Difference,StdDev - aurora,StdDev - veloc,StdDev Difference,StdDev Percentage Difference,Min - aurora,Min - veloc,Min Difference,Min Percentage Difference,Q1 - aurora,Q1 - veloc,Q1 Difference,Q1 Percentage Difference,Median - aurora,Median - veloc,Median Difference,Median Percentage Difference,Q3 - aurora,Q3 - veloc,Q3 Difference,Q3 Percentage Difference,Max - aurora,Max - veloc,Max Difference,Max Percentage Difference
Checkpoint_mean,469.379420124479,9521.35670622031,-9051.97728609583,-95.0702464511404,1.61311527278574,195.479167329691,-193.866052056906,-99.1747891630492,468.374035786458,9269.28419866667,-8800.91016288021,-94.9470312297272,468.76671047526,9344.07648958985,-8875.30977911459,-94.9832740453537,468.914048502604,9537.83892489323,-9068.92487639063,-95.0836447103467,469.100012210938,9672.6243916237,-9203.52437941276,-95.1502302455043,473.915536572917,9832.41131354687,-9358.49577697396,-95.1800680274638
Checkpoint_median,468.08060755,9694.0943476,-9226.01374005,-95.171486982011,0.310490763159754,132.235510658625,-131.925019895465,-99.7651986507911,467.7395555,9439.6952805,-8971.955725,-95.044971880965,467.841275875,9641.755781875,-9173.914506,-95.1477584948328,468.0634245,9693.9013485,-9225.837924,-95.1715681058336,468.176247375,9772.961011875,-9304.7847645,-95.209473906566,468.787797,9875.124464,-9406.336667,-95.2528416354753
Checkpoint_min,457.8121875,3148.0058561,-2690.1936686,-85.4570731940386,4.04395130731058,99.8146945166309,-95.7707432093203,-95.9485411172232,453.856104,2921.118602,-2467.262498,-84.4629347233879,454.6306985,3103.526786,-2648.8960875,-85.3511591860319,455.574769,3173.8678055,-2718.2930365,-85.6460698139181,461.5687975,3214.36543225,-2752.79663475,-85.6404379891271,464.215627,3268.585706,-2804.370079,-85.7976608614588
Checkpoint_max,483.1710202,11478.4294596,-10995.2584394,-95.7906173322701,4.10613847164149,529.157648236161,-525.051509764519,-99.2240235995211,480.931552,10625.451363,-10144.519811,-95.4737776724036,481.406001,11127.68432925,-10646.27832825,-95.6737989076974,481.9903385,11754.237246,-11272.2469075,-95.8994332987109,482.5613715,11843.21638125,-11360.65500975,-95.9254196160429,494.68915,11962.499466,-11467.810316,-95.8646673180132
Total_Execution_Sec_mean,560.1910281,587.5677074,-27.3766793,-4.65932333503187,12.5235481817732,2.89386692570782,9.62968125606541,332.76171652952,554.286603,580.333633,-26.04703,-4.4882854480364,554.3408355,587.08084425,-32.7400087499999,-5.57674621317708,554.5903325,587.761072,-33.1707395000001,-5.64357543910293,555.20042575,589.09857925,-33.8981534999999,-5.75424125842516,591.437316,591.216954,0.220362000000023,0.0372726117729064
Total_Execution_Sec_median,560.1910281,587.5677074,-27.3766793,-4.65932333503187,12.5235481817732,2.89386692570782,9.62968125606541,332.76171652952,554.286603,580.333633,-26.04703,-4.4882854480364,554.3408355,587.08084425,-32.7400087499999,-5.57674621317708,554.5903325,587.761072,-33.1707395000001,-5.64357543910293,555.20042575,589.09857925,-33.8981534999999,-5.75424125842516,591.437316,591.216954,0.220362000000023,0.0372726117729064
Total_Execution_Sec_min,560.1910281,587.5677074,-27.3766793,-4.65932333503187,12.5235481817732,2.89386692570782,9.62968125606541,332.76171652952,554.286603,580.333633,-26.04703,-4.4882854480364,554.3408355,587.08084425,-32.7400087499999,-5.57674621317708,554.5903325,587.761072,-33.1707395000001,-5.64357543910293,555.20042575,589.09857925,-33.8981534999999,-5.75424125842516,591.437316,591.216954,0.220362000000023,0.0372726117729064
Total_Execution_Sec_max,560.1910281,587.5677074,-27.3766793,-4.65932333503187,12.5235481817732,2.89386692570782,9.62968125606541,332.76171652952,554.286603,580.333633,-26.04703,-4.4882854480364,554.3408355,587.08084425,-32.7400087499999,-5.57674621317708,554.5903325,587.761072,-33.1707395000001,-5.64357543910293,555.20042575,589.09857925,-33.8981534999999,-5.75424125842516,591.437316,591.216954,0.220362000000023,0.0372726117729064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,558.8175915375,578.1236898317,-19.3060982942,,,,,,,,,,,,,,,,,,,,,,,,,
