metric,Mean - aurora,Mean - veloc,Mean Difference,Mean Percentage Difference,StdDev - aurora,StdDev - veloc,StdDev Difference,StdDev Percentage Difference,Min - aurora,Min - veloc,Min Difference,Min Percentage Difference,Q1 - aurora,Q1 - veloc,Q1 Difference,Q1 Percentage Difference,Median - aurora,Median - veloc,Median Difference,Median Percentage Difference,Q3 - aurora,Q3 - veloc,Q3 Difference,Q3 Percentage Difference,Max - aurora,Max - veloc,Max Difference,Max Percentage Difference
Checkpoint_mean,235.774295884375,2501.217675174479,-2265.443379290104,-90.57361947244644,0.1883536574758677,16.258777202561852,-16.070423545085983,-98.84152630219823,235.4656445,2491.94096125,-2256.47531675,-90.55091399990928,235.64729960807287,2492.377443236979,-2256.7301436289063,-90.54528036082587,235.82254405729168,2493.028877138021,-2257.2063330807296,-90.54072152072246,235.88801292838542,2502.6230371705733,-2266.735024242188,-90.57436899505743,236.06651748958333,2544.167330380209,-2308.1008128906255,-90.72126606333299
Checkpoint_median,235.10727809999997,2457.0451313500007,-2221.937853250001,-90.43129997490838,0.1419953967123153,23.213863339107657,-23.071867942395343,-99.38831639250198,234.9400305,2436.5553815,-2201.615351,-90.3576979089486,235.002344625,2443.8869760000002,-2208.884631375,-90.38407475743264,235.080491,2446.7370905,-2211.6565994999996,-90.39208209526261,235.191530875,2457.637681125,-2222.4461502500003,-90.43017883875628,235.4017045,2500.1209935,-2264.719289,-90.58438751116387
Checkpoint_min,226.5225354,2083.9738359,-1857.4513005,-89.13026010702421,4.377193407824275,90.62336041231076,-86.24616700448648,-95.16990609495247,219.595327,1928.977349,-1709.382022,-88.61597171610957,223.25492175,2029.644516,-1806.38959425,-89.00029438701964,226.5279355,2082.0822805,-1855.5543449999998,-89.1201256731506,229.4809035,2131.3137297499998,-1901.8328262499997,-89.2328895414699,232.461659,2239.995649,-2007.53399,-89.62222720817437
Checkpoint_max,245.72293640000004,2886.6890477999996,-2640.9661113999996,-91.4877240904326,1.78733316402052,212.8094082527267,-211.0220750887062,-99.16012493117883,241.246576,2750.25666,-2509.010084,-91.22821591494665,245.494863,2765.26151975,-2519.76665675,-91.12218279368403,245.831333,2795.528316,-2549.696983,-91.20626567819032,246.58167525000002,2901.49525,-2654.91357475,-91.50156543423603,248.127814,3446.808679,-3198.6808650000003,-92.80123043928312
Total_Execution_Sec_mean,283.8463249,294.5422326,-10.695907699999964,-3.6313664107127996,0.38931443272371463,5.729669435929477,-5.3403550032057625,-93.20528981510851,283.222571,291.34963,-8.127058999999974,-2.7894523154190978,283.552057,291.60081325,-8.048756249999997,-2.7601967773318603,283.92494750000003,291.92787799999996,-8.002930499999934,-2.741406731973688,284.150647,292.4008725,-8.250225499999999,-2.821546129278393,284.332427,305.660536,-21.328108999999984,-6.977711051321321
Total_Execution_Sec_median,283.8463249,294.5422326,-10.695907699999964,-3.6313664107127996,0.38931443272371463,5.729669435929477,-5.3403550032057625,-93.20528981510851,283.222571,291.34963,-8.127058999999974,-2.7894523154190978,283.552057,291.60081325,-8.048756249999997,-2.7601967773318603,283.92494750000003,291.92787799999996,-8.002930499999934,-2.741406731973688,284.150647,292.4008725,-8.250225499999999,-2.821546129278393,284.332427,305.660536,-21.328108999999984,-6.977711051321321
Total_Execution_Sec_min,283.8463249,294.5422326,-10.695907699999964,-3.6313664107127996,0.38931443272371463,5.729669435929477,-5.3403550032057625,-93.20528981510851,283.222571,291.34963,-8.127058999999974,-2.7894523154190978,283.552057,291.60081325,-8.048756249999997,-2.7601967773318603,283.92494750000003,291.92787799999996,-8.002930499999934,-2.741406731973688,284.150647,292.4008725,-8.250225499999999,-2.821546129278393,284.332427,305.660536,-21.328108999999984,-6.977711051321321
Total_Execution_Sec_max,283.8463249,294.5422326,-10.695907699999964,-3.6313664107127996,0.38931443272371463,5.729669435929477,-5.3403550032057625,-93.20528981510851,283.222571,291.34963,-8.127058999999974,-2.7894523154190978,283.552057,291.60081325,-8.048756249999997,-2.7601967773318603,283.92494750000003,291.92787799999996,-8.002930499999934,-2.741406731973688,284.150647,292.4008725,-8.250225499999999,-2.821546129278393,284.332427,305.660536,-21.328108999999984,-6.977711051321321
