metric,Mean - aurora,Mean - veloc,Mean Difference,Mean Percentage Difference,StdDev - aurora,StdDev - veloc,StdDev Difference,StdDev Percentage Difference,Min - aurora,Min - veloc,Min Difference,Min Percentage Difference,Q1 - aurora,Q1 - veloc,Q1 Difference,Q1 Percentage Difference,Median - aurora,Median - veloc,Median Difference,Median Percentage Difference,Q3 - aurora,Q3 - veloc,Q3 Difference,Q3 Percentage Difference,Max - aurora,Max - veloc,Max Difference,Max Percentage Difference
Checkpoint_mean,221.434427432813,2698.56585849531,-2477.1314310625,-91.7943663766546,0.46680875049654,11.7753805058059,-11.3085717553093,-96.0357225801206,221.015947651042,2679.80477871354,-2458.7888310625,-91.7525355053236,221.26296986263,2694.94091183333,-2473.6779419707,-91.7896912362317,221.32790813151,2699.9645999388,-2478.63669180729,-91.8025625915048,221.373476436198,2702.43347929622,-2481.06000286003,-91.8083653813433,222.703267945313,2723.02228895313,-2500.31902100781,-91.821467314139
Checkpoint_median,220.66713335,2766.84270395,-2546.1755706,-92.0245869765213,0.171041019375478,6.05835631213726,-5.88731529276179,-97.1767751752597,220.346003,2759.412479,-2539.066476,-92.0147493469388,220.620209625,2761.580104375,-2540.95989475,-92.0110878089147,220.66026175,2766.591725,-2545.93146325,-92.0241118428849,220.724895,2772.44368175,-2551.71878675,-92.0386157362564,221.024901,2774.7295535,-2553.7046525,-92.0343623860134
Checkpoint_min,195.3854505,2121.622417,-1926.2369665,-90.7907529193495,6.00221398519049,18.2207978418719,-12.2185838566814,-67.0584458634559,180.652203,2081.179653,-1900.52745,-91.3197208737078,194.04606525,2115.13062275,-1921.0845575,-90.825811741229,196.814369,2127.8279635,-1931.0135945,-90.7504566921723,197.595536,2134.2929585,-1936.6974225,-90.7418737801172,202.595121,2137.528524,-1934.933403,-90.5219921640681
Checkpoint_max,248.2998055,3052.7780939,-2804.4782884,-91.8664312353346,2.29144782302623,131.35764783206,-129.066200009034,-98.2555657315394,243.706833,2921.549957,-2677.843124,-91.6583034147309,247.32446025,2969.27023425,-2721.945774,-91.6705304422226,248.426537,3014.463386,-2766.036849,-91.7588470918651,249.9054685,3072.67953325,-2822.77406475,-91.8668554336458,251.414844,3296.795982,-3045.381138,-92.3739641344904
Total_Execution_Sec_mean,213.4643953,226.4231364,-12.9587411000001,-5.72324070147456,5.42479243317166,5.52053319930206,-0.0957407661304082,-1.73426664914382,210.247199,223.833953,-13.586754,-6.07001476670522,210.88311325,224.381925,-13.49881175,-6.01599783494147,211.5681535,224.8466215,-13.278468,-5.90556705340578,212.91792275,225.2092355,-12.29131275,-5.45773032918093,228.261518,242.065627,-13.804109,-5.70263079937409
Total_Execution_Sec_median,213.4643953,226.4231364,-12.9587411000001,-5.72324070147456,5.42479243317166,5.52053319930206,-0.0957407661304082,-1.73426664914382,210.247199,223.833953,-13.586754,-6.07001476670522,210.88311325,224.381925,-13.49881175,-6.01599783494147,211.5681535,224.8466215,-13.278468,-5.90556705340578,212.91792275,225.2092355,-12.29131275,-5.45773032918093,228.261518,242.065627,-13.804109,-5.70263079937409
Total_Execution_Sec_min,213.4643953,226.4231364,-12.9587411000001,-5.72324070147456,5.42479243317166,5.52053319930206,-0.0957407661304082,-1.73426664914382,210.247199,223.833953,-13.586754,-6.07001476670522,210.88311325,224.381925,-13.49881175,-6.01599783494147,211.5681535,224.8466215,-13.278468,-5.90556705340578,212.91792275,225.2092355,-12.29131275,-5.45773032918093,228.261518,242.065627,-13.804109,-5.70263079937409
Total_Execution_Sec_max,213.4643953,226.4231364,-12.9587411000001,-5.72324070147456,5.42479243317166,5.52053319930206,-0.0957407661304082,-1.73426664914382,210.247199,223.833953,-13.586754,-6.07001476670522,210.88311325,224.381925,-13.49881175,-6.01599783494147,211.5681535,224.8466215,-13.278468,-5.90556705340578,212.91792275,225.2092355,-12.29131275,-5.45773032918093,228.261518,242.065627,-13.804109,-5.70263079937409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212.80239389995,218.12260828815,-5.32021438820005,,,,,,,,,,,,,,,,,,,,,,,,,
