metric,Mean - aurora,Mean - veloc,Mean Difference,Mean Percentage Difference,StdDev - aurora,StdDev - veloc,StdDev Difference,StdDev Percentage Difference,Min - aurora,Min - veloc,Min Difference,Min Percentage Difference,Q1 - aurora,Q1 - veloc,Q1 Difference,Q1 Percentage Difference,Median - aurora,Median - veloc,Median Difference,Median Percentage Difference,Q3 - aurora,Q3 - veloc,Q3 Difference,Q3 Percentage Difference,Max - aurora,Max - veloc,Max Difference,Max Percentage Difference
Checkpoint_mean,877.8019383078124,19022.043618945572,-18144.24168063776,-95.38534367867004,0.6040684321359352,308.6347004982785,-308.0306320661426,-99.80427721472644,876.2067370572917,18217.58044636198,-17341.373709304688,-95.19032321752547,877.8129872135416,18982.43363711849,-18104.620649904948,-95.3756562304158,877.9002442669271,19096.90725226693,-18219.007008000004,-95.40291926504113,878.0898636549479,19197.62591636133,-18319.536052706382,-95.42604972364532,878.3756646458334,19280.152359161457,-18401.77669451562,-95.44414562560004
Checkpoint_median,878.8250227499999,19931.43998815,-19052.6149654,-95.59076000894821,0.4112818881381138,273.7025295935535,-273.2912477054154,-99.84973398355183,878.0957865,19371.962883,-18493.8670965,-95.46718217558336,878.6147308750001,19793.893390625002,-18915.27865975,-95.56118286819137,878.7963327499999,19963.3573005,-19084.56096775,-95.59795319233208,879.1357443750001,20156.940794,-19277.805049625,-95.63854578251932,879.4234615,20225.416735,-19345.9932735,-95.65188953571393
Checkpoint_min,808.4489085,5994.046968,-5185.5980595,-86.51246957496313,15.880130479074783,215.8486228918788,-199.968492412804,-92.64293176101043,763.420152,5602.752787,-4839.332635000001,-86.37419531035968,812.33376425,5959.91474175,-5147.5809775,-86.37004387731433,813.2917345,6078.3041095,-5265.012375,-86.61975906686082,814.19049825,6112.95730525,-5298.766807,-86.68090651392662,815.418143,6271.381023,-5455.96288,-86.99778980085101
Checkpoint_max,963.5004464,22311.3337847,-21347.8333383,-95.68156500325085,2.3297967910349926,847.2575647840897,-844.9277679930548,-99.72501906293057,960.331739,21167.140352,-20206.808612999997,-95.46310118877601,962.09036625,21604.1823565,-20642.091990250003,-95.54674020810356,963.241109,22181.5924895,-21218.3513805,-95.6574754068899,964.09437525,22950.491337,-21986.39696175,-95.79924298310895,968.430802,23568.164621,-22599.733819,-95.89093670392519
Total_Execution_Sec_mean,836.6658416999999,933.4458207,-96.77997900000014,-10.368033886254254,0.912411004864,21.73450979276478,-20.822098787900778,-95.80201709832106,835.286134,920.854407,-85.56827300000009,-9.292269478165194,835.77644825,923.19117925,-87.41473099999996,-9.468757172378492,837.014823,925.038285,-88.023462,-9.515656100655336,837.347934,926.5149282499999,-89.1669942499999,-9.623913391057648,837.820416,989.722466,-151.90205000000003,-15.347944016459259
Total_Execution_Sec_median,836.6658416999999,933.4458207,-96.77997900000014,-10.368033886254254,0.912411004864,21.73450979276478,-20.822098787900778,-95.80201709832106,835.286134,920.854407,-85.56827300000009,-9.292269478165194,835.77644825,923.19117925,-87.41473099999996,-9.468757172378492,837.014823,925.038285,-88.023462,-9.515656100655336,837.347934,926.5149282499999,-89.1669942499999,-9.623913391057648,837.820416,989.722466,-151.90205000000003,-15.347944016459259
Total_Execution_Sec_min,836.6658416999999,933.4458207,-96.77997900000014,-10.368033886254254,0.912411004864,21.73450979276478,-20.822098787900778,-95.80201709832106,835.286134,920.854407,-85.56827300000009,-9.292269478165194,835.77644825,923.19117925,-87.41473099999996,-9.468757172378492,837.014823,925.038285,-88.023462,-9.515656100655336,837.347934,926.5149282499999,-89.1669942499999,-9.623913391057648,837.820416,989.722466,-151.90205000000003,-15.347944016459259
Total_Execution_Sec_max,836.6658416999999,933.4458207,-96.77997900000014,-10.368033886254254,0.912411004864,21.73450979276478,-20.822098787900778,-95.80201709832106,835.286134,920.854407,-85.56827300000009,-9.292269478165194,835.77644825,923.19117925,-87.41473099999996,-9.468757172378492,837.014823,925.038285,-88.023462,-9.515656100655336,837.347934,926.5149282499999,-89.1669942499999,-9.623913391057648,837.820416,989.722466,-151.90205000000003,-15.347944016459259
