metric,Mean - aurora,Mean - veloc,Mean Difference,Mean Percentage Difference,StdDev - aurora,StdDev - veloc,StdDev Difference,StdDev Percentage Difference,Min - aurora,Min - veloc,Min Difference,Min Percentage Difference,Q1 - aurora,Q1 - veloc,Q1 Difference,Q1 Percentage Difference,Median - aurora,Median - veloc,Median Difference,Median Percentage Difference,Q3 - aurora,Q3 - veloc,Q3 Difference,Q3 Percentage Difference,Max - aurora,Max - veloc,Max Difference,Max Percentage Difference
Checkpoint_mean,877.801938307812,19022.0436189456,-18144.2416806378,-95.38534367867,0.604068432135935,308.634700498279,-308.030632066143,-99.8042772147264,876.206737057292,18217.580446362,-17341.3737093047,-95.1903232175255,877.812987213542,18982.4336371185,-18104.6206499049,-95.3756562304158,877.900244266927,19096.9072522669,-18219.007008,-95.4029192650411,878.089863654948,19197.6259163613,-18319.5360527064,-95.4260497236453,878.375664645833,19280.1523591615,-18401.7766945156,-95.4441456256
Checkpoint_median,878.82502275,19931.43998815,-19052.6149654,-95.5907600089482,0.411281888138114,273.702529593554,-273.291247705415,-99.8497339835518,878.0957865,19371.962883,-18493.8670965,-95.4671821755834,878.614730875,19793.893390625,-18915.27865975,-95.5611828681914,878.79633275,19963.3573005,-19084.56096775,-95.5979531923321,879.135744375,20156.940794,-19277.805049625,-95.6385457825193,879.4234615,20225.416735,-19345.9932735,-95.6518895357139
Checkpoint_min,808.4489085,5994.046968,-5185.5980595,-86.5124695749631,15.8801304790748,215.848622891879,-199.968492412804,-92.6429317610104,763.420152,5602.752787,-4839.332635,-86.3741953103597,812.33376425,5959.91474175,-5147.5809775,-86.3700438773143,813.2917345,6078.3041095,-5265.012375,-86.6197590668608,814.19049825,6112.95730525,-5298.766807,-86.6809065139266,815.418143,6271.381023,-5455.96288,-86.997789800851
Checkpoint_max,963.5004464,22311.3337847,-21347.8333383,-95.6815650032509,2.32979679103499,847.25756478409,-844.927767993055,-99.7250190629306,960.331739,21167.140352,-20206.808613,-95.463101188776,962.09036625,21604.1823565,-20642.09199025,-95.5467402081036,963.241109,22181.5924895,-21218.3513805,-95.6574754068899,964.09437525,22950.491337,-21986.39696175,-95.799242983109,968.430802,23568.164621,-22599.733819,-95.8909367039252
Total_Execution_Sec_mean,836.6658417,933.4458207,-96.7799790000001,-10.3680338862543,0.912411004864,21.7345097927648,-20.8220987879008,-95.8020170983211,835.286134,920.854407,-85.5682730000001,-9.29226947816519,835.77644825,923.19117925,-87.414731,-9.46875717237849,837.014823,925.038285,-88.023462,-9.51565610065534,837.347934,926.51492825,-89.1669942499999,-9.62391339105765,837.820416,989.722466,-151.90205,-15.3479440164593
Total_Execution_Sec_median,836.6658417,933.4458207,-96.7799790000001,-10.3680338862543,0.912411004864,21.7345097927648,-20.8220987879008,-95.8020170983211,835.286134,920.854407,-85.5682730000001,-9.29226947816519,835.77644825,923.19117925,-87.414731,-9.46875717237849,837.014823,925.038285,-88.023462,-9.51565610065534,837.347934,926.51492825,-89.1669942499999,-9.62391339105765,837.820416,989.722466,-151.90205,-15.3479440164593
Total_Execution_Sec_min,836.6658417,933.4458207,-96.7799790000001,-10.3680338862543,0.912411004864,21.7345097927648,-20.8220987879008,-95.8020170983211,835.286134,920.854407,-85.5682730000001,-9.29226947816519,835.77644825,923.19117925,-87.414731,-9.46875717237849,837.014823,925.038285,-88.023462,-9.51565610065534,837.347934,926.51492825,-89.1669942499999,-9.62391339105765,837.820416,989.722466,-151.90205,-15.3479440164593
Total_Execution_Sec_max,836.6658417,933.4458207,-96.7799790000001,-10.3680338862543,0.912411004864,21.7345097927648,-20.8220987879008,-95.8020170983211,835.286134,920.854407,-85.5682730000001,-9.29226947816519,835.77644825,923.19117925,-87.414731,-9.46875717237849,837.014823,925.038285,-88.023462,-9.51565610065534,837.347934,926.51492825,-89.1669942499999,-9.62391339105765,837.820416,989.722466,-151.90205,-15.3479440164593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,834.032435885076,876.379689843163,-42.3472539580869,,,,,,,,,,,,,,,,,,,,,,,,,
