metric,Mean - aurora,Mean - veloc,Mean Difference,Mean Percentage Difference,StdDev - aurora,StdDev - veloc,StdDev Difference,StdDev Percentage Difference,Min - aurora,Min - veloc,Min Difference,Min Percentage Difference,Q1 - aurora,Q1 - veloc,Q1 Difference,Q1 Percentage Difference,Median - aurora,Median - veloc,Median Difference,Median Percentage Difference,Q3 - aurora,Q3 - veloc,Q3 Difference,Q3 Percentage Difference,Max - aurora,Max - veloc,Max Difference,Max Percentage Difference
Checkpoint_mean,119.5401107765625,1108.7936308734377,-989.2535200968751,-89.21890354994227,0.3625747368721147,5.124662043459544,-4.762087306587429,-92.9249044366768,119.31699765625,1100.267086125,-980.9500884687501,-89.15563328568982,119.34062338541668,1106.0517571992186,-986.711133813802,-89.21021348154494,119.430317234375,1109.065873203125,-989.6355559687499,-89.23144962621157,119.52573952994793,1110.863764563802,-991.3380250338541,-89.24028820249785,120.5286593125,1119.3455808072915,-998.8169214947916,-89.23222091737098
Checkpoint_median,118.63276379999999,1166.9622275,-1048.3294637,-89.83405280784892,0.06613249312436587,5.163236672249792,-5.097104179125426,-98.71916595495613,118.5297325,1157.8458335,-1039.3161010000001,-89.7629089235739,118.599597,1163.9792682500001,-1045.3796712500002,-89.8108497088346,118.62607175,1168.02545625,-1049.3993845,-89.84387959053097,118.670350375,1170.130826,-1051.460475625,-89.85836901838871,118.7557655,1174.3836315,-1055.627866,-89.88782180586787
Checkpoint_min,110.28577070000001,825.4696164999999,-715.1838457999999,-86.63963294401883,4.304255654896934,18.17122668987387,-13.866971034976935,-76.31279534201435,103.712718,779.518347,-675.805629,-86.69528197775696,107.51606725,821.95064725,-714.43458,-86.91940110884802,108.9451315,828.318302,-719.3731705,-86.84743156864351,114.5475325,837.50123575,-722.95370325,-86.32270286772528,116.131388,842.685708,-726.55432,-86.21889668977273
Checkpoint_max,129.57104529999998,1333.3941085000001,-1203.8230632000002,-90.28261453429094,2.2171008073538006,62.363613364327044,-60.14651255697324,-96.44488077622837,126.440295,1279.637253,-1153.196958,-90.119051730983,128.2987015,1292.9675085000001,-1164.668807,-90.07719059786412,129.5430905,1316.8794635,-1187.3363729999999,-90.16287412093885,130.75279325,1345.54812425,-1214.795331,-90.28256285349283,133.976926,1491.291766,-1357.31484,-91.01604869988935
Total_Execution_Sec_mean,139.9217133,143.1731919,-3.251478600000013,-2.271010764550827,0.2701135155296556,0.12340202256351769,0.14671149296613795,118.88905053450188,139.705053,142.992906,-3.2878530000000126,-2.299311967266413,139.76074675,143.0784375,-3.317690749999997,-2.3187915719306043,139.78896650000002,143.2016395,-3.412672999999984,-2.383124251870024,140.070827,143.2444965,-3.1736694999999884,-2.215561210060163,140.528153,143.380298,-2.8521450000000073,-1.9892168169437108
Total_Execution_Sec_median,139.9217133,143.1731919,-3.251478600000013,-2.271010764550827,0.2701135155296556,0.12340202256351769,0.14671149296613795,118.88905053450188,139.705053,142.992906,-3.2878530000000126,-2.299311967266413,139.76074675,143.0784375,-3.317690749999997,-2.3187915719306043,139.78896650000002,143.2016395,-3.412672999999984,-2.383124251870024,140.070827,143.2444965,-3.1736694999999884,-2.215561210060163,140.528153,143.380298,-2.8521450000000073,-1.9892168169437108
Total_Execution_Sec_min,139.9217133,143.1731919,-3.251478600000013,-2.271010764550827,0.2701135155296556,0.12340202256351769,0.14671149296613795,118.88905053450188,139.705053,142.992906,-3.2878530000000126,-2.299311967266413,139.76074675,143.0784375,-3.317690749999997,-2.3187915719306043,139.78896650000002,143.2016395,-3.412672999999984,-2.383124251870024,140.070827,143.2444965,-3.1736694999999884,-2.215561210060163,140.528153,143.380298,-2.8521450000000073,-1.9892168169437108
Total_Execution_Sec_max,139.9217133,143.1731919,-3.251478600000013,-2.271010764550827,0.2701135155296556,0.12340202256351769,0.14671149296613795,118.88905053450188,139.705053,142.992906,-3.2878530000000126,-2.299311967266413,139.76074675,143.0784375,-3.317690749999997,-2.3187915719306043,139.78896650000002,143.2016395,-3.412672999999984,-2.383124251870024,140.070827,143.2444965,-3.1736694999999884,-2.215561210060163,140.528153,143.380298,-2.8521450000000073,-1.9892168169437108
