Filename,MPI_Processes,Trial_Iteration,Memory_MB,Backend_Processes,Total_Runtime_Sec
heatdis_aurora_p16_i0_m256_b8_test.log,16,0,256,8,106.564887
heatdis_aurora_p16_i1_m256_b8_test.log,16,1,256,8,106.828179
heatdis_aurora_p16_i2_m256_b8_test.log,16,2,256,8,107.587253
heatdis_aurora_p16_i3_m256_b8_test.log,16,3,256,8,106.42322
heatdis_aurora_p16_i4_m256_b8_test.log,16,4,256,8,107.19954
heatdis_aurora_p16_i5_m256_b8_test.log,16,5,256,8,106.383571
heatdis_aurora_p16_i6_m256_b8_test.log,16,6,256,8,108.586701
heatdis_aurora_p16_i7_m256_b8_test.log,16,7,256,8,106.076768
heatdis_aurora_p16_i8_m256_b8_test.log,16,8,256,8,106.399409
heatdis_aurora_p16_i9_m256_b8_test.log,16,9,256,8,106.171865
heatdis_aurora_p16_i0_m256_b16_test.log,16,0,256,16,106.029781
heatdis_aurora_p16_i1_m256_b16_test.log,16,1,256,16,105.411337
heatdis_aurora_p16_i2_m256_b16_test.log,16,2,256,16,106.61122
heatdis_aurora_p16_i3_m256_b16_test.log,16,3,256,16,105.518021
heatdis_aurora_p16_i4_m256_b16_test.log,16,4,256,16,106.439958
heatdis_aurora_p16_i5_m256_b16_test.log,16,5,256,16,107.241599
heatdis_aurora_p16_i6_m256_b16_test.log,16,6,256,16,106.608222
heatdis_aurora_p16_i7_m256_b16_test.log,16,7,256,16,106.937371
heatdis_aurora_p16_i8_m256_b16_test.log,16,8,256,16,107.862688
heatdis_aurora_p16_i9_m256_b16_test.log,16,9,256,16,107.07308
heatdis_aurora_p32_i0_m128_b16_test.log,32,0,128,16,57.14281
heatdis_aurora_p32_i1_m128_b16_test.log,32,1,128,16,56.743507
heatdis_aurora_p32_i0_m256_b16_test.log,32,0,256,16,114.07217
heatdis_aurora_p32_i1_m256_b16_test.log,32,1,256,16,114.619208
heatdis_aurora_p32_i2_m256_b16_test.log,32,2,256,16,116.22433
heatdis_aurora_p64_i0_m128_b16_test.log,64,0,128,16,73.919808
heatdis_aurora_p64_i0_m256_b16_test.log,64,0,256,16,170.278326
